Date,Description,Category,Amount_MXN,Amount_USD,Source_File,Status
2025-11-28,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-12.pdf,
2025-12-02,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-12.pdf,
2025-12-03,Of,Otros,212.18,11.59,nubank-credit-2025-12.pdf,
2025-12-03,Of,Otros,254.40,13.92,nubank-credit-2025-12.pdf,
2025-12-04,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-12.pdf,
2025-12-05,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-12.pdf,
2025-12-08,Rest Maca Del Mar,Restaurante,2121.75,,nubank-credit-2025-12.pdf,
2025-12-09,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-12.pdf,
2025-12-09,Cafeteria Arabica,Restaurante,269.00,,nubank-credit-2025-12.pdf,
2025-12-12,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-12.pdf,
2025-12-13,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-12.pdf,
2025-12-15,Of,Otros,104.53,5.79,nubank-credit-2025-12.pdf,
2025-12-16,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-12.pdf,
2025-12-17,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-12.pdf,
2025-12-18,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-12.pdf,
2025-12-20,Almanegra Cafe,Restaurante,44.00,,nubank-credit-2025-12.pdf,
