Date,Description,Category,Amount_MXN,Amount_USD,Source_File,Account_Type,Status
2025-12-06,UNITED AIRLINES (2 tickets),Flights,42958.64,2300.08,2025-12.csv,credit,
2025-12-06,TRAVELOCITY*7332070031,Accommodation,64428.62,3449.62,2025-12.csv,credit,
2025-12-07,VIAGOGO,Entertainment,4695.77,251.42,2025-12.csv,credit,
2025-12-09,TDI BROADWAY.COM,Entertainment,4021.28,215.04,2025-12.csv,credit,
2025-12-28,ATM Withdrawal Citibanamex,ATM,9014.76,503.50,nubank-debit-2025-12.csv,debit,
2026-01-01,KINGS THEATRE           Brooklyn,Entertainment,1213.68,65.65,2026-01.csv,credit,
2026-01-01,THOMPSON BEEKMAN HYATT  NEW YORK,Accommodation,17162.43,928.34,2026-01.csv,credit,
2026-01-01,TST* EMMY SQUARED - WES NEW YORK,Food,2192.02,118.57,2026-01.csv,credit,
2026-01-01,UBER,Transportation,1275.61,69.00,2026-01.csv,credit,
2026-01-01,UNITED AIRLINES         HOUSTON,Transportation,184.87,10.00,2026-01.csv,credit,
2025-12-31,CHAMPION PIZZA (SOHO)   New York,Food,333.90,18.11,2026-01.csv,credit,
2025-12-31,FIDI WINE               New York,Shopping,8049.89,435.43,2026-01.csv,credit,
2025-12-31,LONGCHAMP               NY,Shopping,21335.74,1154.08,2026-01.csv,credit,
2025-12-31,MARC JACOBS INTERNATION NEW YORK,Shopping,25965.13,1404.49,2026-01.csv,credit,
2025-12-31,MARC JACOBS INTERNATION NEW YORK,Shopping,-16001.81,-865.56,2026-01.csv,credit,
2025-12-31,MCNALLY JACKSON - SOHO  NEW YORK,Shopping,1327.20,71.79,2026-01.csv,credit,
2025-12-31,NYCT PAYGO              NEW YORK,Transportation,38.82,2.10,2026-01.csv,credit,
2025-12-31,NYCT PAYGO              NEW YORK,Transportation,53.60,2.90,2026-01.csv,credit,
2025-12-31,PEAK RESTAURANT 2867488 NEW YORK,Food,8711.92,471.24,2026-01.csv,credit,
2025-12-31,SP REUSED               NORTHPORT,Shopping,8959.09,484.61,2026-01.csv,credit,
2025-12-31,UBER,Transportation,1108.49,59.96,2026-01.csv,credit,
2025-12-31,UBER,Transportation,1124.31,60.98,2026-01.csv,credit,
2025-12-30,BLOOMINGDALES  SOHO 000 NEW YORK,Shopping,4026.51,217.80,2026-01.csv,credit,
2025-12-30,Muji - SOHO 000000061   NEW YORK,Shopping,1193.64,64.74,2026-01.csv,credit,
2025-12-30,NYCT PAYGO              NEW YORK,Transportation,53.46,2.90,2026-01.csv,credit,
2025-12-30,NYCT PAYGO              NEW YORK,Transportation,53.46,2.90,2026-01.csv,credit,
2025-12-30,THE MUSEUM OF MODERN AR NEW YORK,Shopping,4174.25,226.40,2026-01.csv,credit,
2025-12-30,TST* JACKS WIFE FREDA - NEW YORK,Food,2461.22,133.49,2026-01.csv,credit,
2025-12-30,UBER,Transportation,1029.23,55.78,2026-01.csv,credit,
2025-12-29,APPLE STORE R250 R250   NEW YORK,Shopping,2591.55,140.45,2026-01.csv,credit,
2025-12-29,GOLDENBAR WEST VILLAGE  NEW YORK,Food,5365.60,290.79,2026-01.csv,credit,
2025-12-29,KOBRICK COFFEE CO.      NEW YORK,Food,287.66,15.59,2026-01.csv,credit,
2025-12-29,NYCT PAYGO              NEW YORK,Transportation,53.50,2.90,2026-01.csv,credit,
2025-12-29,NYCT PAYGO              NEW YORK,Transportation,53.50,2.90,2026-01.csv,credit,
2025-12-29,NYCT PAYGO              NEW YORK,Transportation,53.50,2.90,2026-01.csv,credit,
2025-12-29,NYCT PAYGO              NEW YORK,Transportation,53.50,2.90,2026-01.csv,credit,
2025-12-29,NYCT PAYGO              NEW YORK,Transportation,53.50,2.90,2026-01.csv,credit,
2025-12-29,RAMEN MISOYA            NEW YORK,Food,1445.50,78.40,2026-01.csv,credit,
2025-12-29,SOHO HOUSE NEW YORK INC NEW YORK,Entertainment,2598.01,140.80,2026-01.csv,credit,
2025-12-29,TST* ACADIA 300649638   NEW YORK,Food,1929.04,104.91,2026-01.csv,credit,
2025-12-29,TST* BENJAMIN STEAKHOUS NEW YORK,Food,9740.51,527.89,2026-01.csv,credit,
2025-12-28,BLACKLANE   *129583276  BERLIN,Transportation,2807.97,152.71,2026-01.csv,credit,
2025-12-28,KIN RAMEN               NEW YORK,Food,2402.33,130.65,2026-01.csv,credit,
2025-12-28,MUJI NY 59th  ST 000000 NEW YORK,Shopping,6120.49,332.86,2026-01.csv,credit,
2025-12-28,NYCT PAYGO              NEW YORK,Transportation,53.32,2.90,2026-01.csv,credit,
2025-12-28,NYCT PAYGO              NEW YORK,Transportation,53.32,2.90,2026-01.csv,credit,
2025-12-28,NYCT PAYGO              NEW YORK,Transportation,53.32,2.90,2026-01.csv,credit,
2025-12-28,TST* LAISSEZ-FAIRE 0000 NEW YORK,Food,1107.85,60.25,2026-01.csv,credit,
2025-12-28,VARIETY COFFEE ROASTERS New York,Food,168.61,9.17,2026-01.csv,credit,
2025-12-27,CANAL SMOKE GIFT AND CO NEW YORK,Shopping,611.75,33.27,2026-01.csv,credit,
2025-12-27,TST* AU CHEVAL NEW YORK NEW YORK,Food,2330.81,126.76,2026-01.csv,credit,
2025-12-27,UBER TRIP               HTTPS://HELP.UB,Transportation,317.06,,2026-01.csv,credit,
2025-12-27,UBER TRIP               HTTPS://HELP.UB,Transportation,534.32,,2026-01.csv,credit,
2025-12-27,UNITED AIRLINES         HOUSTON,Transportation,183.87,10.00,2026-01.csv,credit,
